Day,Time ,Title,Description,Type,Moderator/Mediator,Workshop lead,Speaker 1,Speaker 2,Speaker 3 ,Speaker 4,Speaker 5,Speaker 6
,,,,,,,,,,,,
1,8:00-9:00,Registration/Check in,N/A,general,N/A,N/A,N/A,N/A,N/A,N/A,,
1,9:00-10:00,Coffee,N/A,general,TBD,TBD,TBD,TBD,TBD,TBD,,
1,10:00-10:30,Opening Remarks,N/A,general,TBD,TBD,MITEF Greece + GSW team,Christos Dimas,Bill Aulet,TBD,,
1,10:30-11:30,Keynote: Entrepreneurship,N/A,keynote,TBD,TBD,Dulcie Madden,TBD,TBD,TBD,,
1,11:30-12:30,Building Tech Ventures,N/A,panel,Macauley Kenney,TBD,Marina Hatsopoulos,Lars Rasmussen,Maria Zubeldia Diaz,TBD,,
1,11:30-12:30,Funding Tech Ventures,N/A,panel,Kathleen Kennedy,TBD,Alex Eleftheriadis,Francois Robinet,Rob Genieser,Liron Azrielant,,
1,12:30-14:30,Lunch Break ,N/A,general,TBD,TBD,TBD,TBD,TBD,TBD,,
1,12:30-13:30,Introduction to Disciplined Entrepreneurship (Group 1),N/A,workshop,TBD,TBD,Bill Aulet,TBD,TBD,TBD,,
1,12:30-13:30,Growing your Startup (Group 1),N/A,workshop,TBD,TBD,Kosta Ligris,TBD,TBD,TBD,,
1,12:30-14:30,Investor Office Hours ,N/A,workshop,TBD,TBD,Lars Rasmussen,Marina Hatsopoulos,Liron Azrielant,Francois Robinet,Alex Eleftheriadis,George Dimopoulos
1,13:30-14:30,Introduction to Disciplined Entrepreneurship (Group 2),N/A,workshop,TBD,TBD,Bill Aulet,TBD,TBD,TBD,,
1,13:30-14:30,Growing your Startup (Group 2),N/A,workshop,TBD,TBD,Kosta Ligris,TBD,TBD,TBD,,
1,14:30-15:30,Innovation in Academia,N/A,panel,Kelly Becker,TBD,George Nounesis,Luisa Alemany,Brian Anthony,Anjali Sastry,,
1,14:30-15:30,Tech & Innovative Entrepreneurship out of Greece,N/A,panel,TBD,TBD,Nikos Moschos,Charis Arvanitis,Panagiotis Karampinis,,,
1,15:30-16:30,Keynote: AI/Digital Technology,N/A,keynote,TBD,TBD,Daniela Braga,TBD,TBD,TBD,,
1,16:30-17:30,Ethics and Impact: Challenges and Opportunities in AI,N/A,panel,Lazaros Polymenakos,TBD,Theodoros Evgeniou,Anu Annaswamy,Tyler Spalding,Snejina Zacharia,,
1,16:30-17:30,Digitization and Disruption for the Future,N/A,panel,Myladie Stoumbou,TBD,Kosta Ligris,Timos Selis,Chuck Kane,Michael Tzannes,,
1,17:30-19:00,Research Showcase,N/A,general,TBD,TBD,TBD,TBD,TBD,TBD,,
1,17:30-19:00,Happy Hour + Networking Reception,N/A,general,TBD,TBD,TBD,TBD,TBD,TBD,,
2,8:00-9:00,Check in,N/A,general,TBD,TBD,TBD,TBD,TBD,TBD,,
2,9:00-10:00,Coffee,N/A,general,TBD,TBD,TBD,TBD,TBD,TBD,,
2,10:00-11:00,Keynote: Biotechnology,N/A,keynote,TBD,TBD,Andrey Zarur,TBD,TBD,TBD,,
2,11:00-12:00,Frontiers in Health and Biotechnology,N/A,panel,Dimitrios I. Fotiadis,TBD,Stelios Papadopoulos,Brian Anthony,Nektarios Tavernarakis,Sloane Phillips,,
2,11:00-12:00,Deep Tech for Entrepreneurs and Investors,N/A,panel,Marina Hatsopoulos,TBD,William Sonneborn,Alex Eleftheriadis,Oded Gour-Lavie,TBD,,
2,11:00-12:00,MIT Open Learning: Building the Future of Education,N/A,panel,Anjali Sastry,TBD,Kathleen Kennedy,Katerina Bagiati,TBD,TBD,,
2,12:00-12:30,Seaside Chat,N/A,keynote,Gerassimos Spyridakis,TBD,William Sonneborn,TBD,TBD,TBD,,
2,12:30-14:30,Lunch Break ,N/A,general,TBD,TBD,TBD,TBD,TBD,TBD,,
2,12:30-13:30,Perfect Pitch (Group 1),N/A,workshop,TBD,TBD,Linda Plano,TBD,TBD,TBD,,
2,12:30-13:30,Introduction to Product Design for Entrepreneurs (Group 1),N/A,workshop,TBD,TBD,Macauley Kenney,TBD,TBD,TBD,,
2,13:30-14:30,Perfect Pitch (Group 2),N/A,workshop,TBD,TBD,Linda Plano,TBD,TBD,TBD,,
2,13:30-14:30,Introduction to Product Design for Entrepreneurs (Group 2),N/A,workshop,TBD,TBD,Macauley Kenney,TBD,TBD,TBD,,
2,13:30-14:30,Microsoft Workshop (Exclusive to startups only),N/A,workshop,TBD,TBD,TBD,TBD,TBD,TBD,,
2,14:30-15:30,Keynote: Sustainability,N/A,keynote,TBD,TBD,Miles Barr,TBD,TBD,TBD,,
2,15:30-16:30,Forging a Sustainable Future,N/A,panel,Kelly Becker,TBD,Miles Barr,Anu Annaswamy,Oded Gour-Lavie,Alisee de Tonnac,,
2,15:30-16:30,Global Greek Companies,N/A,panel,Gerassimos Spyridakis,TBD,Jerry Kalogiratos,Stamatis Tsantanis,Panos Dimitracopoulos,TBD,,
2,15:30-16:30,Research Commercialization: the interconnection between Academia and Entrepreneurship Panel,N/A,panel,Faye Orfanou,TBD,Katerina Pramatari,Leonidas Alexopoulos,"George Loudos Marios Katsiotis, PhD Moderator: Faye Orfanou",Marios Katsiotis,,
2,16:30-18:00,Competition Finalist Pitches,N/A,competition,TBD,TBD,TBD,TBD,TBD,TBD,,
2,18:00-19:00,Seaside Chat,N/A,keynote,Fanis Papathanasiou,TBD,Kyriakos Pierrakakis,Lars Rasmussen,TBD,TBD,,
2,19:00-20:00,Competition Finale + Closing Remarks,N/A,general,TBD,TBD,TBD,TBD,TBD,TBD,,